"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","775","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 11:32:30 UTC 2025","passed","Tue Oct 21 11:32:31 UTC 2025","","Link to video and timecode are in different <p>aragraphs in Markdown view","",""
"","1336","preserves the content of a note AS-IS","Markdown view post-processor","Tue Oct 21 11:32:47 UTC 2025","passed","Tue Oct 21 11:32:48 UTC 2025","","There are multiple videos","",""
"","1188","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 11:32:42 UTC 2025","passed","Tue Oct 21 11:32:43 UTC 2025","","There is a markdown link to YouTube video instead of a plain text link","",""
"","10793","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 11:32:31 UTC 2025","failed","Tue Oct 21 11:32:42 UTC 2025","","Timecode is on the same line as video link","",""
"","942","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 11:32:43 UTC 2025","passed","Tue Oct 21 11:32:44 UTC 2025","","The video is embedded with <iframe>","",""
"","1342","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 11:32:44 UTC 2025","passed","Tue Oct 21 11:32:45 UTC 2025","","There are multiple videos","",""
"","789","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 11:32:30 UTC 2025","passed","Tue Oct 21 11:32:30 UTC 2025","","Link to video and timecode are within the same <p>aragraph in Markdown view","",""
"","1272","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 11:32:45 UTC 2025","passed","Tue Oct 21 11:32:47 UTC 2025","","There are multiple videos with mixed links types","",""
