"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","539","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:44:21 UTC 2025","passed","Tue Oct 21 09:44:22 UTC 2025","","Link to video and timecode are in different <p>aragraphs in Markdown view","",""
"","1057","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 09:44:35 UTC 2025","passed","Tue Oct 21 09:44:36 UTC 2025","","There are multiple videos with mixed links types","",""
"","10654","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:44:22 UTC 2025","failed","Tue Oct 21 09:44:32 UTC 2025","","Timecode is on the same line as video link","",""
"","1097","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 09:44:34 UTC 2025","passed","Tue Oct 21 09:44:35 UTC 2025","","There are multiple videos","",""
"","609","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:44:21 UTC 2025","passed","Tue Oct 21 09:44:21 UTC 2025","","Link to video and timecode are within the same <p>aragraph in Markdown view","",""
"","1202","preserves the content of a note AS-IS","Markdown view post-processor","Tue Oct 21 09:44:36 UTC 2025","passed","Tue Oct 21 09:44:37 UTC 2025","","There are multiple videos","",""
"","736","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:44:33 UTC 2025","passed","Tue Oct 21 09:44:34 UTC 2025","","The video is embedded with <iframe>","",""
"","659","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:44:32 UTC 2025","passed","Tue Oct 21 09:44:33 UTC 2025","","There is a markdown link to YouTube video instead of a plain text link","",""
