"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","517","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:39:02 UTC 2025","passed","Tue Oct 21 09:39:02 UTC 2025","","Link to video and timecode are in different <p>aragraphs in Markdown view","",""
"","1126","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 09:39:15 UTC 2025","passed","Tue Oct 21 09:39:16 UTC 2025","","There are multiple videos","",""
"","1205","preserves the content of a note AS-IS","Markdown view post-processor","Tue Oct 21 09:39:17 UTC 2025","passed","Tue Oct 21 09:39:18 UTC 2025","","There are multiple videos","",""
"","762","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:39:14 UTC 2025","passed","Tue Oct 21 09:39:15 UTC 2025","","The video is embedded with <iframe>","",""
"","542","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:39:01 UTC 2025","passed","Tue Oct 21 09:39:02 UTC 2025","","Link to video and timecode are within the same <p>aragraph in Markdown view","",""
"","682","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:39:13 UTC 2025","passed","Tue Oct 21 09:39:14 UTC 2025","","There is a markdown link to YouTube video instead of a plain text link","",""
"","1059","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 09:39:16 UTC 2025","passed","Tue Oct 21 09:39:17 UTC 2025","","There are multiple videos with mixed links types","",""
"","10722","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:39:02 UTC 2025","failed","Tue Oct 21 09:39:13 UTC 2025","","Timecode is on the same line as video link","",""
