"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","713","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 10:22:16 UTC 2025","passed","Tue Oct 21 10:22:17 UTC 2025","","The video is embedded with <iframe>","",""
"","617","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 10:22:04 UTC 2025","passed","Tue Oct 21 10:22:04 UTC 2025","","Link to video and timecode are in different <p>aragraphs in Markdown view","",""
"","563","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 10:22:03 UTC 2025","passed","Tue Oct 21 10:22:04 UTC 2025","","Link to video and timecode are within the same <p>aragraph in Markdown view","",""
"","746","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 10:22:15 UTC 2025","passed","Tue Oct 21 10:22:16 UTC 2025","","There is a markdown link to YouTube video instead of a plain text link","",""
"","1088","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 10:22:17 UTC 2025","passed","Tue Oct 21 10:22:18 UTC 2025","","There are multiple videos","",""
"","1165","preserves the content of a note AS-IS","Markdown view post-processor","Tue Oct 21 10:22:19 UTC 2025","passed","Tue Oct 21 10:22:20 UTC 2025","","There are multiple videos","",""
"","996","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 10:22:18 UTC 2025","passed","Tue Oct 21 10:22:19 UTC 2025","","There are multiple videos with mixed links types","",""
"","10630","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 10:22:04 UTC 2025","failed","Tue Oct 21 10:22:15 UTC 2025","","Timecode is on the same line as video link","",""
