"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10674","renders timecode with expected clickable link","Markdown view post-processor","Mon Oct 20 21:15:00 UTC 2025","failed","Mon Oct 20 21:15:11 UTC 2025","","Timecode is on the same line as video link","",""
"","575","renders timecode with expected clickable link","Markdown view post-processor","Mon Oct 20 21:14:59 UTC 2025","passed","Mon Oct 20 21:15:00 UTC 2025","","Link to video and timecode are within the same <p>aragraph in Markdown view","",""
"","765","renders timecode with expected clickable link","Markdown view post-processor","Mon Oct 20 21:15:11 UTC 2025","passed","Mon Oct 20 21:15:12 UTC 2025","","There is a markdown link to YouTube video instead of a plain text link","",""
"","511","renders timecode with expected clickable link","Markdown view post-processor","Mon Oct 20 21:15:00 UTC 2025","passed","Mon Oct 20 21:15:00 UTC 2025","","Link to video and timecode are in different <p>aragraphs in Markdown view","",""
"","1100","renders timecodes with expected clickable link","Markdown view post-processor","Mon Oct 20 21:15:13 UTC 2025","passed","Mon Oct 20 21:15:14 UTC 2025","","There are multiple videos","",""
"","1032","renders timecodes with expected clickable link","Markdown view post-processor","Mon Oct 20 21:15:14 UTC 2025","passed","Mon Oct 20 21:15:15 UTC 2025","","There are multiple videos with mixed links types","",""
"","1148","preserves the content of a note AS-IS","Markdown view post-processor","Mon Oct 20 21:15:15 UTC 2025","passed","Mon Oct 20 21:15:16 UTC 2025","","There are multiple videos","",""
"","757","renders timecode with expected clickable link","Markdown view post-processor","Mon Oct 20 21:15:12 UTC 2025","passed","Mon Oct 20 21:15:13 UTC 2025","","The video is embedded with <iframe>","",""
