"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","570","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:32:47 UTC 2025","passed","Tue Oct 21 09:32:48 UTC 2025","","Link to video and timecode are within the same <p>aragraph in Markdown view","",""
"","629","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:32:49 UTC 2025","passed","Tue Oct 21 09:32:49 UTC 2025","","There is a markdown link to YouTube video instead of a plain text link","",""
"","729","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:32:49 UTC 2025","passed","Tue Oct 21 09:32:50 UTC 2025","","The video is embedded with <iframe>","",""
"","945","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 09:32:51 UTC 2025","passed","Tue Oct 21 09:32:52 UTC 2025","","There are multiple videos with mixed links types","",""
"","1256","preserves the content of a note AS-IS","Markdown view post-processor","Tue Oct 21 09:32:52 UTC 2025","passed","Tue Oct 21 09:32:53 UTC 2025","","There are multiple videos","",""
"","570","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:32:48 UTC 2025","passed","Tue Oct 21 09:32:49 UTC 2025","","Timecode is on the same line as video link","",""
"","1033","renders timecodes with expected clickable link","Markdown view post-processor","Tue Oct 21 09:32:50 UTC 2025","passed","Tue Oct 21 09:32:51 UTC 2025","","There are multiple videos","",""
"","509","renders timecode with expected clickable link","Markdown view post-processor","Tue Oct 21 09:32:48 UTC 2025","passed","Tue Oct 21 09:32:48 UTC 2025","","Link to video and timecode are in different <p>aragraphs in Markdown view","",""
